Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;base;1;1;0;0;0.013567557;0.225726931;24.67;1.874709238
belledenise1;0;1;1;1;0;1.658761524;0.472175325;25.44;1.842678208
belledenise1;0;1;1;1;1;0.505813935;0.808645024;27.02;1.835912468
belledenise1;0;1;1;p;0;-1.462063848;1.873941711;27.38;0.183287428
belledenise1;0;1;1;F1;0;-2.872695509;3.8851648;28.48;0
belledenise1;0;1;1;F2;0;-4.203761054;4.076121637;24.4;0
belledenise1;0;1;1;F3;0;-5.638287475;2.323114521;24.6;0
belledenise1;0;1;1;F4;0;-4.322320203;-0.204479224;24.78;0
belledenise1;0;1;1;F5;0;-3.063577769;-0.196264357;27.44;0
belledenise1;0;1;1;1;2;2.411186674;-0.101110288;28.36;1.831849613
belledenise1;0;1;1;p;0;3.968308849;1.881178927;27.15;0.208292829
belledenise1;0;1;1;F1;0;1.635584252;2.428897792;28.4;0
belledenise1;0;1;1;F2;0;1.385514356;4.884639034;26.86;0
belledenise1;0;1;1;F3;0;2.860464707;4.217240005;23.62;0
belledenise1;0;1;1;F4;0;5.272860642;1.991381552;22.42;0
belledenise1;0;1;1;F5;0;6.548323621;0.825279417;24.7;0
belledenise1;0;1;1;1;3;1.225083019;0.117883136;29.78;1.763102955
belledenise1;0;1;1;p;0;-0.883262725;4.374099558;28.72;0.183590632
belledenise1;0;1;1;F1;0;-3.941112443;4.355255488;27.36;0
belledenise1;0;1;1;F2;0;-1.635532935;3.255936094;25.01;0
belledenise1;0;1;1;F3;0;1.025496212;3.286331512;24.19;0
belledenise1;0;1;1;F4;0;1.613954674;3.625029959;26.05;0
belledenise1;0;1;1;F5;0;2.371579667;4.373097048;29.42;0
belledenise1;0;1;1;1;4;3.105254395;-0.618768474;32.06;1.741030517
belledenise1;0;1;1;p;0;6.692839762;1.201597214;34.13;0.194105591
belledenise1;0;1;1;F1;0;5.035468898;3.514846406;31.83;0
belledenise1;0;1;1;F2;0;6.885690607;5.090942732;29.97;0
belledenise1;0;1;1;F3;0;10.7107978;4.613182361;29.69;0
belledenise1;0;1;1;F4;0;12.58471711;1.133911399;32.51;0
belledenise1;0;1;1;F5;0;10.20134869;-1.148905941;34.54;0
belledenise1;0;1;1;1;5;2.708749492;-0.180837131;34.07;1.706049679
belledenise1;0;1;1;p;0;-0.749641736;4.289568904;33.88;0.211515627
belledenise1;0;1;1;F1;0;-1.551478676;0.845348016;33.39;0
belledenise1;0;1;1;F2;0;-2.624148449;1.273225988;29.35;0
belledenise1;0;1;1;F3;0;-1.472903495;3.388795665;28.6;0
