Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;base;1;1;0;0;-199.9864324;0.225726931;24.67;1.874709238
belledenise1;0;1;1;1;0;-198.3412385;0.472175325;25.44;1.842678208
belledenise1;0;1;1;1;1;-199.4941861;0.808645024;27.02;1.835912468
belledenise1;0;1;1;p;0;-201.4620638;1.873941711;27.38;0.183287428
belledenise1;0;1;1;F1;0;-202.8726955;3.8851648;28.48;0
belledenise1;0;1;1;F2;0;-204.2037611;4.076121637;24.4;0
belledenise1;0;1;1;F3;0;-205.6382875;2.323114521;24.6;0
belledenise1;0;1;1;F4;0;-204.3223202;-0.204479224;24.78;0
belledenise1;0;1;1;F5;0;-203.0635778;-0.196264357;27.44;0
belledenise1;0;1;1;1;2;-197.5888133;-0.101110288;28.36;1.831849613
belledenise1;0;1;1;p;0;-196.0316912;1.881178927;27.15;0.208292829
belledenise1;0;1;1;F1;0;-198.3644157;2.428897792;28.4;0
belledenise1;0;1;1;F2;0;-198.6144856;4.884639034;26.86;0
belledenise1;0;1;1;F3;0;-197.1395353;4.217240005;23.62;0
belledenise1;0;1;1;F4;0;-194.7271394;1.991381552;22.42;0
belledenise1;0;1;1;F5;0;-193.4516764;0.825279417;24.7;0
belledenise1;0;1;1;1;3;-198.774917;0.117883136;29.78;1.763102955
belledenise1;0;1;1;p;0;-200.8832627;4.374099558;28.72;0.183590632
belledenise1;0;1;1;F1;0;-203.9411124;4.355255488;27.36;0
belledenise1;0;1;1;F2;0;-201.6355329;3.255936094;25.01;0
belledenise1;0;1;1;F3;0;-198.9745038;3.286331512;24.19;0
belledenise1;0;1;1;F4;0;-198.3860453;3.625029959;26.05;0
belledenise1;0;1;1;F5;0;-197.6284203;4.373097048;29.42;0
belledenise1;0;1;1;1;4;-196.8947456;-0.618768474;32.06;1.741030517
belledenise1;0;1;1;p;0;-193.3071602;1.201597214;34.13;0.194105591
belledenise1;0;1;1;F1;0;-194.9645311;3.514846406;31.83;0
belledenise1;0;1;1;F2;0;-193.1143094;5.090942732;29.97;0
belledenise1;0;1;1;F3;0;-189.2892022;4.613182361;29.69;0
belledenise1;0;1;1;F4;0;-187.4152829;1.133911399;32.51;0
