Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;base;1;1;0;0;0;0;24.67;1.874709238
belledenise1;0;1;1;1;0;1.645193967;0.246448394;25.44;1.842678208
belledenise1;0;1;1;1;1;0.492246378;0.582918093;27.02;1.835912468
belledenise1;0;1;1;p;0;-1.475631405;1.64821478;27.38;0.183287428
belledenise1;0;1;1;F1;0;-2.886263066;3.659437869;28.48;0
belledenise1;0;1;1;F2;0;-4.217328611;3.850394706;24.4;0
belledenise1;0;1;1;F3;0;-5.651855032;2.09738759;24.6;0
belledenise1;0;1;1;F4;0;-4.33588776;-0.430206155;24.78;0
belledenise1;0;1;1;F5;0;-3.077145326;-0.421991288;27.44;0
belledenise1;0;1;1;1;2;2.397619117;-0.326837219;28.36;1.831849613
belledenise1;0;1;1;p;0;3.954741292;1.655451996;27.15;0.208292829
belledenise1;0;1;1;F1;0;1.622016695;2.203170861;28.4;0
belledenise1;0;1;1;F2;0;1.371946799;4.658912103;26.86;0
belledenise1;0;1;1;F3;0;2.84689715;3.991513074;23.62;0
belledenise1;0;1;1;F4;0;5.259293085;1.765654621;22.42;0
belledenise1;0;1;1;F5;0;6.534756064;0.599552486;24.7;0
belledenise1;0;1;1;1;3;1.211515462;-0.107843795;29.78;1.763102955
belledenise1;0;1;1;p;0;-0.896830282;4.148372627;28.72;0.183590632
belledenise1;0;1;1;F1;0;-3.95468;4.129528557;27.36;0
belledenise1;0;1;1;F2;0;-1.649100492;3.030209163;25.01;0
belledenise1;0;1;1;F3;0;1.011928655;3.060604581;24.19;0
belledenise1;0;1;1;F4;0;1.600387117;3.399303028;26.05;0
belledenise1;0;1;1;F5;0;2.35801211;4.147370117;29.42;0
belledenise1;0;1;1;1;4;3.091686838;-0.844495405;32.06;1.741030517
belledenise1;0;1;1;p;0;6.679272205;0.975870283;34.13;0.194105591
belledenise1;0;1;1;F1;0;5.021901341;3.289119475;31.83;0
belledenise1;0;1;1;F2;0;6.87212305;4.865215801;29.97;0
belledenise1;0;1;1;F3;0;10.69723024;4.38745543;29.69;0
belledenise1;0;1;1;F4;0;12.57114955;0.908184468;32.51;0
belledenise1;0;1;1;F5;0;10.18778113;-1.374632872;34.54;0
belledenise1;0;1;1;1;5;2.695181935;-0.406564062;34.07;1.706049679
belledenise1;0;1;1;p;0;-0.763209293;4.063841973;33.88;0.211515627
belledenise1;0;1;1;F1;0;-1.565046233;0.619621085;33.39;0
belledenise1;0;1;1;F2;0;-2.637716006;1.047499057;29.35;0
belledenise1;0;1;1;F3;0;-1.486471052;3.163068734;28.6;0
belledenise1;0;1;1;F4;0;0.813499298;7.792446272;29.92;0
belledenise1;0;1;1;F5;0;1.581728634;7.658193947;33.8;0
belledenise1;0;1;1;1;6;3.943159298;-1.633858852;36.49;1.663742048
belledenise1;0;1;1;p;0;9.709976835;0.443113824;39.4;0.215271869
belledenise1;0;1;1;F1;0;5.766136483;3.057788426;41.65;0
belledenise1;0;1;1;F2;0;11.52649729;5.917166566;40.35;0
belledenise1;0;1;1;F3;0;14.73072072;2.168839982;38.13;0
belledenise1;0;1;1;F4;0;13.54227152;-3.631443502;37.61;0
belledenise1;0;1;1;F5;0;9.070924274;-4.559696569;39.63;0
belledenise1;0;1;1;1;7;3.684553079;-2.155033318;39.99;1.611310383
belledenise1;0;1;1;1;8;5.778412814;-3.16906064;45.15;1.588859916
belledenise1;0;1;1;p;0;6.47979062;4.286445324;43.55;0.17704686
belledenise1;0;1;1;F1;0;2.402273775;5.009948175;45.6;0
belledenise1;0;1;1;F2;0;-0.048242766;5.16444311;39.59;0
belledenise1;0;1;1;F3;0;5.378143043;7.389423347;35.69;0
belledenise1;0;1;1;F4;0;9.663021601;6.396289044;38.09;0
belledenise1;0;1;1;F5;0;10.71455726;4.982686288;43.53;0
belledenise1;0;1;1;1;9;5.094057937;-2.837159447;50.64;1.549844768
belledenise1;0;1;1;p;0;1.250743799;5.360488779;51;0.155706002
belledenise1;0;1;1;F1;0;-2.999251199;3.102272111;53.37;0
belledenise1;0;1;1;F2;0;-3.855527468;4.055577388;46.97;0
belledenise1;0;1;1;F3;0;1.250613718;6.135149984;42.36;0
belledenise1;0;1;1;F4;0;1.906361964;10.88043125;47.27;0
belledenise1;0;1;1;F5;0;4.511968342;7.327444417;52.93;0
belledenise1;0;1;1;1;10;5.07213755;-2.984195145;51.42;1.541766409
belledenise1;0;1;1;p;0;7.852443333;7.047753805;51;0.191769783
belledenise1;0;1;1;F1;0;3.601928009;7.888181959;56.58;0
belledenise1;0;1;1;F2;0;3.084225892;12.83696813;51.7;0
belledenise1;0;1;1;F3;0;6.732948408;12.65414579;42.81;0
belledenise1;0;1;1;F4;0;14.34065926;10.35971003;46.52;0
belledenise1;0;1;1;F5;0;12.72229472;10.23848217;51.94;0
belledenise1;0;1;1;1;11;5.001126829;-2.913079202;59.43;1.517071371
belledenise1;0;1;1;p;0;0.020143175;5.349438686;61.29;0.199676195
belledenise1;0;1;1;F1;0;-4.567894075;3.615652601;64.24;0
belledenise1;0;1;1;F2;0;-7.120547525;9.316684118;59.56;0
belledenise1;0;1;1;F3;0;-4.534206107;8.253040348;53.37;0
belledenise1;0;1;1;F4;0;4.997237667;11.7914128;56.32;0
belledenise1;0;1;1;F5;0;5.199895004;8.01857169;63.18;0
belledenise1;0;1;1;1;12;4.359405558;-2.016924187;68.72;1.506595891
belledenise1;0;1;1;p;0;1.179578138;7.123053799;70.39;0.208713666
belledenise1;0;1;1;F1;0;-4.509500212;10.2617936;73.88;0
belledenise1;0;1;1;F2;0;-7.240066962;12.29228744;67.87;0
belledenise1;0;1;1;F3;0;-0.429253364;9.424305893;61.21;0
belledenise1;0;1;1;F4;0;3.831141319;14.32522796;67.44;0
belledenise1;0;1;1;F5;0;5.699495398;10.93180005;74.32;0
belledenise1;0;1;1;1;13;6.249525083;-3.571867331;63.43;1.452837152
belledenise1;0;1;1;1;14;5.627439946;-2.762972973;78.75;1.436781032
belledenise1;0;1;1;p;0;8.838162329;3.217341548;82.16;0.195514642
belledenise1;0;1;1;F1;0;12.46438284;0.201147786;87.66;0
belledenise1;0;1;1;F2;0;17.75265951;3.100980501;83.79;0
belledenise1;0;1;1;F3;0;15.44655968;7.298944717;78;0
belledenise1;0;1;1;F4;0;8.241915678;8.515170342;76.77;0
belledenise1;0;1;1;F5;0;5.503338719;8.279381798;82.76;0
belledenise1;0;1;1;1;15;4.244133172;-2.8083863;86.11;1.416497144
belledenise1;0;1;1;p;0;-0.477111672;8.45548724;84.57;0.215642726
belledenise1;0;1;1;F1;0;-6.606170314;10.33089124;88.14;0
belledenise1;0;1;1;F2;0;-9.102886458;12.70738203;82.38;0
belledenise1;0;1;1;F3;0;-4.042634995;13.62605234;75.59;0
belledenise1;0;1;1;F4;0;4.593174091;13.42405869;81.69;0
belledenise1;0;1;1;F5;0;3.513335891;12.7226676;88.64;0
belledenise1;0;1;1;1;16;4.899399235;-4.416592253;92.57;1.389851109
