Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
plantdec1;base;1;1;0;0;12.93069828;0.188945148;24.35;1.874709238
plantdec1;0;1;1;1;0;12.68144614;0.855858464;25.5;1.842678208
plantdec1;0;1;1;1;1;12.7143042;-0.099453185;26.65;1.835912468
plantdec1;0;1;1;p;0;17.11643287;-5.212501507;31.53;0.183287428
plantdec1;0;1;1;F1;0;19.08574414;-1.472352696;31.17;0.0
plantdec1;0;1;1;F2;0;20.07266447;-4.105390534;27.95;0.0
plantdec1;0;1;1;F3;0;19.24600097;-8.009417615;27.52;0.0
plantdec1;0;1;1;F4;0;16.07562999;-9.759602713;29.54;0.0
plantdec1;0;1;1;F5;0;14.35120013;-5.983726437;29.68;0.0
plantdec1;0;1;1;1;2;13.11771706;1.638780993;30.58;1.831849613
plantdec1;0;1;1;p;0;11.80808033;11.12842543;30.55;0.208292829
plantdec1;0;1;1;F1;0;14.52218395;12.49141536;32.36;0.0
plantdec1;0;1;1;F2;0;16.14264087;11.23323439;27.3;0.0
plantdec1;0;1;1;F3;0;12.8541753;10.27485335;23.74;0.0
plantdec1;0;1;1;F4;0;10.04127485;9.15173669;23.41;0.0
plantdec1;0;1;1;F5;0;8.159508179;8.09487615;29.25;0.0
plantdec1;0;1;1;1;3;12.36816059;0.374555894;36.51;1.763102955
plantdec1;0;1;1;p;0;3.538907976;-5.292612553;32.83;0.183590632
plantdec1;0;1;1;F1;0;8.223084193;-6.030578112;32.24;0.0
plantdec1;0;1;1;F2;0;6.748117114;-10.31710026;28.11;0.0
plantdec1;0;1;1;F3;0;2.76813771;-6.14702065;24.1;0.0
plantdec1;0;1;1;F4;0;5.016151108;-0.210983608;29.18;0.0
plantdec1;0;1;1;F5;0;3.649625091;-0.57746232;34.6;0.0
plantdec1;0;1;1;1;4;13.8523052;2.419088796;39.79;1.741030517
plantdec1;0;1;1;p;0;12.65122552;12.70592541;39.94;0.194105591
plantdec1;0;1;1;F1;0;16.96577896;12.63157043;43.31;0.0
plantdec1;0;1;1;F2;0;19.44050665;12.57568786;38.06;0.0
plantdec1;0;1;1;F3;0;17.01374267;10.18710741;32.68;0.0
plantdec1;0;1;1;F4;0;10.03588673;9.378388335;33.27;0.0
plantdec1;0;1;1;F5;0;8.078495742;10.59326303;39.5;0.0
plantdec1;0;1;1;1;5;13.58127791;1.366547012;43.68;1.706049679
plantdec1;0;1;1;p;0;5.026175316;-3.694946799;46.86;0.211515627
plantdec1;0;1;1;F1;0;10.22384548;-4.133039107;48.43;0.0
plantdec1;0;1;1;F2;0;8.190522138;-7.871621216;44.07;0.0
plantdec1;0;1;1;F3;0;3.134732413;-10.63639793;41.58;0.0
plantdec1;0;1;1;F4;0;4.875540007;-3.594403257;41.21;0.0
plantdec1;0;1;1;F5;0;4.997054695;1.817226274;45.17;0.0
plantdec1;0;1;1;1;6;15.3167707;3.212776891;48.17;1.663742048
plantdec1;0;1;1;p;0;10.5441939;11.38119232;53.62;0.215271869
plantdec1;0;1;1;F1;0;10.85036597;12.84842055;58.75;0.0
plantdec1;0;1;1;F2;0;17.55383853;9.850512012;56.21;0.0
plantdec1;0;1;1;F3;0;16.17047082;11.15756739;46.84;0.0
plantdec1;0;1;1;F4;0;8.785041924;9.398067438;45.95;0.0
plantdec1;0;1;1;F5;0;4.197270498;12.22390419;51.86;0.0
plantdec1;0;1;1;1;7;15.97860257;1.467217215;56.08;1.611310383
plantdec1;0;1;1;p;0;5.660993276;1.115168185;56.28;0.207796865
plantdec1;0;1;1;F1;0;3.316851112;-1.408221899;60.92;0.0
plantdec1;0;1;1;F2;0;-1.0053985;-3.626995952;54.84;0.0
plantdec1;0;1;1;F3;0;0.05002337;1.325920833;49.12;0.0
plantdec1;0;1;1;F4;0;7.96179715;2.250818454;49.81;0.0
plantdec1;0;1;1;F5;0;9.768944848;3.514154197;55.46;0.0
plantdec1;0;1;1;1;8;16.6839634;2.010785151;62.58;1.564080986
plantdec1;0;1;1;p;0;19.56223198;10.59183229;66.1;0.194210769
plantdec1;0;1;1;F1;0;23.18485822;12.11848847;70.1;0.0
plantdec1;0;1;1;F2;0;25.7413077;10.29531375;64.54;0.0
plantdec1;0;1;1;F3;0;20.55042302;10.81916128;58.66;0.0
plantdec1;0;1;1;F4;0;14.12665793;13.94769802;61.98;0.0
plantdec1;0;1;1;F5;0;14.7853564;12.0741142;68.32;0.0
plantdec1;0;1;1;1;9;17.15114432;-0.02839164;68.18;1.525441175
plantdec1;0;1;1;p;0;15.6401111;-7.51186534;69.08;0.222498618
plantdec1;0;1;1;F1;0;21.40448971;-8.348130395;72.8;0.0
plantdec1;0;1;1;F2;0;20.89355715;-11.2241429;65.85;0.0
plantdec1;0;1;1;F3;0;14.34257192;-11.63401188;62.52;0.0
plantdec1;0;1;1;F4;0;11.18479857;-9.42275263;64.01;0.0
plantdec1;0;1;1;F5;0;12.12210451;-4.827814374;69.17;0.0
plantdec1;0;1;1;1;10;13.24766792;2.352652672;74.76;1.493838923
plantdec1;0;1;1;p;0;13.25718549;9.060529342;72.84;0.205044469
plantdec1;0;1;1;F1;0;8.585881551;9.813801904;74.22;0.0
plantdec1;0;1;1;F2;0;9.304485341;11.60056115;69.35;0.0
plantdec1;0;1;1;F3;0;13.23339964;11.4715943;66.38;0.0
plantdec1;0;1;1;F4;0;19.2550439;10.6149728;70.65;0.0
plantdec1;0;1;1;F5;0;17.09008701;9.221358195;75.14;0.0
plantdec1;0;1;1;1;11;14.03547056;2.434914477;79.51;1.44521253
plantdec1;0;1;1;p;0;15.48850382;5.825267606;83.26;0.218876724
plantdec1;0;1;1;F1;0;11.55940952;5.627737948;81.87;0.0
plantdec1;0;1;1;F2;0;13.37633877;9.077921724;79.52;0.0
plantdec1;0;1;1;F3;0;15.71745285;7.775545109;77.62;0.0
plantdec1;0;1;1;F4;0;19.66511422;5.540266665;80.23;0.0
