Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
poulsard1;base;1;1;0;0;26.10843588;-0.526609313;19.17;1.874709238
poulsard1;0;1;1;1;0;26.19544042;0.750782643;19.15;1.842678208
poulsard1;0;1;1;1;1;26.84338167;1.198747084;19.73;1.835912468
poulsard1;0;1;1;1;2;28.01357482;0.210239128;20.58;1.777286784
poulsard1;0;1;1;1;3;28.52306518;0.73456686;23.88;1.770063157
poulsard1;0;1;1;1;4;30.74790492;-1.825157374;26.9;1.766146026
poulsard1;0;1;1;p;0;35.74854215;-5.919498263;27.88;0.208292829
poulsard1;0;1;1;F1;0;34.69486446;-8.877498149;25.65;0.0
poulsard1;0;1;1;F2;0;39.05245628;-6.994231439;24.39;0.0
poulsard1;0;1;1;F3;0;38.92994034;-3.896701803;25.32;0.0
poulsard1;0;1;1;F4;0;37.92389433;-2.348680026;26.95;0.0
poulsard1;0;1;1;F5;0;36.20716654;-2.62607092;28.59;0.0
poulsard1;0;1;1;1;5;31.08932349;-1.782339635;31.69;1.699865128
poulsard1;0;1;1;p;0;25.97609544;6.180505268;30.63;0.183590632
poulsard1;0;1;1;F1;0;25.01198724;3.86287817;28.72;0.0
poulsard1;0;1;1;F2;0;25.02735116;6.869913912;24.53;0.0
poulsard1;0;1;1;F3;0;27.94193651;12.97267494;24.98;0.0
poulsard1;0;1;1;F4;0;29.82283721;6.980428905;27.25;0.0
poulsard1;0;1;1;F5;0;30.25851987;5.328072824;32.59;0.0
poulsard1;0;1;1;1;6;32.17979038;-4.218377805;35.52;1.67858437
poulsard1;0;1;1;p;0;30.82519262;-2.18919942;41.01;0.194105591
poulsard1;0;1;1;F1;0;28.52082555;-3.348678784;38.25;0.0
poulsard1;0;1;1;F2;0;26.64224409;-2.727847328;36.02;0.0
poulsard1;0;1;1;F3;0;30.78075306;1.089172909;36.05;0.0
poulsard1;0;1;1;F4;0;32.46536754;1.622627732;36.56;0.0
poulsard1;0;1;1;F5;0;35.34272611;1.025126517;39.55;0.0
poulsard1;0;1;1;1;7;29.79943211;-3.230504069;40.58;1.644858202
poulsard1;0;1;1;p;0;20.53826845;-0.018441224;40.77;0.211515627
poulsard1;0;1;1;F1;0;21.55492764;-4.631163208;41.19;0.0
poulsard1;0;1;1;F2;0;18.36248098;-4.650767732;36.33;0.0
poulsard1;0;1;1;F3;0;20.64233128;1.505950762;33.29;0.0
poulsard1;0;1;1;F4;0;19.36295476;3.645318828;34.31;0.0
poulsard1;0;1;1;F5;0;22.55033471;3.714665975;40.47;0.0
poulsard1;0;1;1;1;8;31.74189615;-2.445626089;48.06;1.604068034
poulsard1;0;1;1;p;0;27.19275015;5.466116491;48.69;0.215271869
poulsard1;0;1;1;F1;0;24.18711859;2.013772519;47.56;0.0
poulsard1;0;1;1;F2;0;24.57409301;5.635629887;43.35;0.0
poulsard1;0;1;1;F3;0;25.59628226;6.23831483;42.35;0.0
poulsard1;0;1;1;F4;0;27.29782865;9.467361111;43.04;0.0
poulsard1;0;1;1;F5;0;30.61551065;7.507466681;46.42;0.0
poulsard1;0;1;1;1;9;29.44410994;-1.340782885;54.32;1.553516954
poulsard1;0;1;1;p;0;20.60564975;1.648969871;54.85;0.207796865
poulsard1;0;1;1;F1;0;20.0374067;-1.555105633;56.06;0.0
poulsard1;0;1;1;F2;0;17.91538712;-1.879809942;51.24;0.0
poulsard1;0;1;1;F3;0;14.58079193;0.186920549;48.45;0.0
poulsard1;0;1;1;F4;0;19.27091159;6.621310773;48.28;0.0
poulsard1;0;1;1;F5;0;23.67687698;6.549415086;55.02;0.0
poulsard1;0;1;1;1;10;32.00482177;-0.842731795;59.97;1.507981549
poulsard1;0;1;1;p;0;37.45422147;-3.638915433;63.39;0.194210769
poulsard1;0;1;1;F1;0;34.75019098;-6.282533992;60.88;0.0
poulsard1;0;1;1;F2;0;37.14860449;-7.348982584;58.79;0.0
poulsard1;0;1;1;F3;0;40.77911854;-4.544652407;59.9;0.0
poulsard1;0;1;1;F4;0;43.75236532;1.258510832;63.29;0.0
poulsard1;0;1;1;F5;0;37.80209452;1.116816302;65.36;0.0
poulsard1;0;1;1;1;11;31.26305173;1.465985857;63.97;1.470727647
poulsard1;0;1;1;p;0;24.82724797;8.222599652;63.15;0.222498618
poulsard1;0;1;1;F1;0;23.29783376;4.349681868;62.53;0.0
poulsard1;0;1;1;F2;0;21.01467662;5.291166601;58.5;0.0
