Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
salice1;base;1;1;0;0;0;0;36.04;2.376758378
salice1;0;1;1;1;0;0.42;0.68;36.51;2.347244104
salice1;0;1;1;1;1;1.36;1.42;36.5;2.271642665
salice1;0;1;1;1;2;1.06;0.83;39.52;2.213278324
salice1;0;1;1;p;0;-2.11;4.12;38.15;0.208073338
salice1;0;1;1;F1;0;-2.32;1.34;37.21;0
salice1;0;1;1;F2;0;-3.75;0.1;35.34;0
salice1;0;1;1;F3;0;-2.87;1.89;33.81;0
salice1;0;1;1;F4;0;0.64;2.88;35.29;0
salice1;0;1;1;F5;0;1.63;4.28;36.67;0
salice1;0;1;1;1;3;3.61;1.35;39.94;2.18543328
salice1;0;1;1;p;0;3.75;6.46;37.89;0.223326499
salice1;0;1;1;F1;0;7.02;7;37.91;0
salice1;0;1;1;F2;0;6.81;5.56;34.48;0
salice1;0;1;1;F3;0;4.25;4.4;31.9;0
salice1;0;1;1;F4;0;-0.58;4.26;35.31;0
salice1;0;1;1;F5;0;2.16;7.66;39.86;0
salice1;0;1;1;1;4;3.45;0.15;43.9;2.111067619
salice1;0;1;1;p;0;-0.42;4.34;44.43;0.236243487
salice1;0;1;1;F1;0;-2.25;2.14;47.01;0
salice1;0;1;1;F2;0;-4.97;0.78;43.66;0
salice1;0;1;1;F3;0;-3.92;3.45;38.61;0
salice1;0;1;1;F4;0;2.02;6.49;40.29;0
salice1;0;1;1;F5;0;3.09;7.1;44.28;0
salice1;0;1;1;1;5;4.72;1.47;46.49;2.070013656
salice1;0;1;1;p;0;6.88;6.46;47.12;0.176590471
salice1;0;1;1;F1;0;10.66;7.24;46.58;0
salice1;0;1;1;F2;0;10.05;6.43;42.67;0
salice1;0;1;1;F3;0;3.09;8.17;41.6;0
salice1;0;1;1;F4;0;0.94;8.27;47.29;0
salice1;0;1;1;F5;0;3.56;8.22;49.69;0
salice1;0;1;1;1;6;3.99;0.23;48.79;2.066871054
salice1;0;1;1;p;0;0.41;4.2;52.68;0.167073854
salice1;0;1;1;F1;0;-3.02;2.12;54.61;0
salice1;0;1;1;F2;0;-5.19;2.64;50.4;0
salice1;0;1;1;F3;0;-0.84;6.12;47.1;0
salice1;0;1;1;F4;0;3.26;9.04;49.17;0
salice1;0;1;1;F5;0;4.55;7.01;52.93;0
salice1;0;1;1;1;7;4.89;1.17;51.81;1.988159187
salice1;0;1;1;1;8;3.99;0.78;54.56;1.984337544
salice1;0;1;1;p;0;0.51;1.32;59.1;0.166869674
salice1;0;1;1;F1;0;-0.12;-1.44;61.88;0
salice1;0;1;1;F2;0;-1.71;-3.34;58.49;0
salice1;0;1;1;F3;0;-3.77;1.15;54.47;0
salice1;0;1;1;F4;0;-0.4;6.41;55.35;0
salice1;0;1;1;F5;0;2.51;6.56;57.24;0
salice1;0;1;1;1;9;4.52;2.51;57.97;1.96001843
salice1;0;1;1;p;0;7.74;7.93;58.6;0.195565731
salice1;0;1;1;F1;0;10.89;7.77;60.62;0
salice1;0;1;1;F2;0;11.71;6.47;55.89;0
salice1;0;1;1;F3;0;7.1;7.48;52.19;0
salice1;0;1;1;F4;0;3.43;10.43;55.31;0
salice1;0;1;1;F5;0;4.44;10.23;60.2;0
salice1;0;1;1;1;10;3.26;1.52;60.52;1.935218502
salice1;0;1;1;p;0;0.29;-1.33;65.3;0.212264797
salice1;0;1;1;F1;0;2.79;-3.18;65.06;0
salice1;0;1;1;F2;0;0.74;-4.29;62.78;0
salice1;0;1;1;F3;0;-2.31;-3.5;61.15;0
salice1;0;1;1;F4;0;-4.56;-1.56;62.42;0
salice1;0;1;1;F5;0;-2.26;1.64;65.15;0
salice1;0;1;1;1;11;3.03;4.37;64.2;1.861718891
salice1;0;1;1;p;0;4.64;10.14;64.04;0.173942358
salice1;0;1;1;F1;0;7.7;10.31;65.28;0
salice1;0;1;1;F2;0;7.54;8.79;60.64;0
salice1;0;1;1;F3;0;3.1;11.92;59.91;0
salice1;0;1;1;F4;0;0.37;11.7;61.37;0
salice1;0;1;1;F5;0;1.14;9.88;66.93;0
salice1;0;1;1;1;12;3.15;3.52;68.61;1.833064069
salice1;0;1;1;p;0;7.3;-2.09;71.87;0.176337161
salice1;0;1;1;F1;0;12.07;-0.2;70.59;0
salice1;0;1;1;F2;0;11.99;-0.52;67.83;0
salice1;0;1;1;F3;0;8.23;-4.91;66.56;0
salice1;0;1;1;F4;0;5.89;-5.78;67.5;0
salice1;0;1;1;F5;0;4.01;-3.45;72.62;0
salice1;0;1;1;1;13;1.19;5.02;72.64;1.814524733
salice1;0;1;1;p;0;0.86;11.55;73.9;0.18378577
salice1;0;1;1;F1;0;-2.79;11.87;75.48;0
salice1;0;1;1;F2;0;-5.18;15.29;74.06;0
salice1;0;1;1;F3;0;0.71;13.54;67.62;0
salice1;0;1;1;F4;0;5.11;12.76;68.88;0
salice1;0;1;1;F5;0;5;11.42;72.05;0
salice1;0;1;1;1;14;3.16;2.35;75.46;1.804948388
salice1;0;1;1;p;0;7.93;3.93;76.02;0.18970227
salice1;0;1;1;F1;0;12.25;2.77;77.43;0
salice1;0;1;1;F2;0;12.86;3.76;72.86;0
salice1;0;1;1;F3;0;7.74;5.58;69.71;0
salice1;0;1;1;F4;0;4.83;4.58;73.92;0
salice1;0;1;1;F5;0;6.2;3.77;75.64;0
salice1;0;1;1;1;15;1.09;1.16;80.3;1.748884981
salice1;0;1;1;p;0;-1.23;5.98;83.01;0.207988971
salice1;0;1;1;F1;0;-5.06;5.18;86.06;0
salice1;0;1;1;F2;0;-6.93;5.84;82.39;0
salice1;0;1;1;F3;0;-3.96;8.72;78.21;0
salice1;0;1;1;F4;0;-0.09;10.56;79.54;0
salice1;0;1;1;F5;0;1.47;9.66;82.83;0
salice1;0;1;1;1;16;2.53;-0.61;83.97;1.710121713
salice1;0;1;1;p;0;5.52;3.3;86.64;0.227242184
salice1;0;1;1;F1;0;6.85;1.46;90.37;0
salice1;0;1;1;F2;0;11.55;4.59;89.8;0
salice1;0;1;1;F3;0;11.02;7;83.76;0
salice1;0;1;1;F4;0;6.5;6.95;81.44;0
salice1;0;1;1;F5;0;3.19;5.68;83.1;0
salice1;0;1;1;1;17;-0.27;-0.65;89.07;1.698108663
salice1;0;1;1;p;0;-5.57;2.1;90.3;0.213228032
salice1;0;1;1;F1;0;-7.36;-2.02;92.82;0
salice1;0;1;1;F2;0;-12.97;-0.39;90.39;0
salice1;0;1;1;F3;0;-9.8;2.21;84.28;0
salice1;0;1;1;F4;0;-3.89;7.95;85.9;0
salice1;0;1;1;F5;0;-5.28;5.87;87.2;0
salice1;0;1;1;1;18;2.18;-3.06;93.77;1.689023686
salice1;0;1;1;1;19;3.08;-1.95;98.94;1.679924257
salice1;0;1;1;p;0;1.99;5.22;100.25;0.194680874
salice1;0;1;1;F1;0;-2.31;7.58;103.23;0
salice1;0;1;1;F2;0;-4.2;7.19;97.65;0
salice1;0;1;1;F3;0;1.35;11.24;94.03;0
salice1;0;1;1;F4;0;7.82;8.5;95.41;0
salice1;0;1;1;F5;0;7.76;4.66;99.44;0
salice1;0;1;1;1;20;3.1;-3.18;105.16;1.615447614
salice1;0;1;1;p;0;-1.01;-8.02;103;0.185414252
salice1;0;1;1;F1;0;-7.16;-6.63;103.41;0
salice1;0;1;1;F2;0;-6.61;-7.82;97.25;0
salice1;0;1;1;F3;0;-0.8;-8.68;94.49;0
salice1;0;1;1;F4;0;3.17;-10.96;97.29;0
salice1;0;1;1;F5;0;4.13;-9.69;101.47;0
salice1;0;1;1;1;21;1.96;2.06;110.67;1.598463418
salice1;0;1;1;p;0;-0.3;7.13;109.25;0.18308909
salice1;0;1;1;F1;0;-4.5;9.58;108.36;0
salice1;0;1;1;F2;0;-3.86;11.57;105.03;0
salice1;0;1;1;F3;0;-2.9;8.79;101.99;0
salice1;0;1;1;F4;0;2.52;7.46;103.56;0
salice1;0;1;1;F5;0;2.82;8.02;105.96;0
salice1;0;1;1;1;22;3.17;0.74;115.39;1.579443485
salice1;0;1;1;p;0;5.24;-5.36;117.65;0.229867582
salice1;0;1;1;F1;0;2.07;-8.02;120.84;0
salice1;0;1;1;F2;0;0.05;-10.8;117.18;0
salice1;0;1;1;F3;0;1.18;-10.26;114.02;0
