time;Tac;hs;u;Rg;Tsoil;
2019-01-01 09:00;2.153;81.2;0.023;0;5.153;
2019-01-01 10:00;2.913;82.8;0.001;9.313888889;12.913;
2019-01-01 11:00;8.26;60.69;0.278;83.61111111;23.26;
2019-01-01 12:00;10.61;48.51;0.46;286.6666667;30.61;
2019-01-01 13:00;12.41;43.32;0.454;374.4444444;32.41;
2019-01-01 14:00;13.27;40.73;0.386;413.3333333;33.27;
2019-01-01 15:00;14.61;41.06;0.23;393.3333333;34.61;
2019-01-01 16:00;14.67;40.04;0.349;318.8888889;34.67;
2019-01-01 17:00;15.08;40.45;0.014;199.4444444;30.08;
2019-01-01 18:00;11.3;50.35;0.073;56.33333333;17.3;
2019-01-01 19:00;7.26;59.87;0.039;0;12.26;
2019-01-01 20:00;5.729;69.41;0.001;0;9.729;
2019-01-01 21:00;5.533;73.2;0.001;0;8.533;
2019-01-01 22:00;4.594;68.89;0.024;0;7.594;
2019-01-01 23:00;3.849;70.1;0.031;0;6.849;
2019-01-02 00:00;3.509;72.5;0.025;0;6.509;
2019-01-02 01:00;2.161;77.3;0.01;0;5.161;
2019-01-02 02:00;1.283;79.4;0;0;4.283;
2019-01-02 03:00;1.691;77.4;0.005;0;4.691;
2019-01-02 04:00;1.147;78.2;0.007;0;4.147;
2019-01-02 05:00;0.944;78.3;0;0;3.944;
2019-01-02 06:00;0.267;80.4;0.001;0;3.267;
2019-01-02 07:00;0.003;83.3;0;0;3.003;
2019-01-02 08:00;0.752;81.9;0.012;0;3.752;
2019-01-02 09:00;2.778;69.67;0.162;0;5.778;
2019-01-02 10:00;4.814;61.11;0.245;8.386111111;14.814;
2019-01-02 11:00;8.33;50.98;0.546;85.66666667;23.33;
2019-01-02 12:00;10.07;42.67;0.897;293.6111111;30.07;
2019-01-02 13:00;12.48;34.51;0.244;382.2222222;32.48;
2019-01-02 14:00;14.08;26.7;0.416;418.6111111;34.08;
2019-01-02 15:00;14.75;26.7;0.792;404.4444444;34.75;
2019-01-02 16:00;15.01;24.86;0.445;329.7222222;35.01;
2019-01-02 17:00;13.39;22.15;0.509;208.0555556;28.39;
2019-01-02 18:00;10.77;26.57;0.311;62.80555556;16.77;
2019-01-02 19:00;7.67;36.48;0.061;0;12.67;
2019-01-02 20:00;5.732;42.34;0;0;9.732;
2019-01-02 21:00;5.677;42.01;0.055;0;8.677;
2019-01-02 22:00;4.799;44.8;0.07;0;7.799;
2019-01-02 23:00;4.46;38.89;0.015;0;7.46;
2019-01-03 00:00;4.192;42.09;0.104;0;7.192;
2019-01-03 01:00;4.463;36.52;0.114;0;7.463;
2019-01-03 02:00;3.917;41.2;1.33;0;6.917;
2019-01-03 03:00;1.678;47.24;0.343;0;4.678;
2019-01-03 04:00;1.419;49.16;0.002;0;4.419;
2019-01-03 05:00;0.604;50.86;0.004;0;3.604;
2019-01-03 06:00;-0.003;53.99;0.018;0;2.997;
2019-01-03 07:00;-0.743;58.27;0.001;0;2.257;
2019-01-03 08:00;-1.012;59.77;0.006;0;1.988;
2019-01-03 09:00;-1.012;63.98;0;0;1.988;
2019-01-03 10:00;-1.012;61.27;0.01;9.627777778;8.988;
2019-01-03 11:00;4.753;44.41;0.092;86.86111111;19.753;
2019-01-03 12:00;7.58;38.76;0.14;289.4444444;27.58;
2019-01-03 13:00;10.6;21.57;0.41;381.3888889;30.6;
2019-01-03 14:00;11.66;16.2;0.436;422.2222222;31.66;
2019-01-03 15:00;12.8;16.47;0.58;406.6666667;32.8;
2019-01-03 16:00;12.65;15.04;0.512;332.2222222;32.65;
2019-01-03 17:00;12.32;14.5;0.303;212.2222222;27.32;
2019-01-03 18:00;10.09;15.73;0.232;64.83333333;16.09;
2019-01-03 19:00;8.83;16.41;0.057;0.219444444;13.83;
2019-01-03 20:00;7.63;17.77;0.202;0;11.63;
2019-01-03 21:00;5.598;21.65;0.001;0;8.598;
2019-01-03 22:00;4.662;24.71;0.001;0;7.662;
2019-01-03 23:00;5.478;23.96;0.128;0;8.478;
2019-01-04 00:00;4.324;28.44;0.076;0;7.324;
2019-01-04 01:00;4.052;30;0.076;0;7.052;
2019-01-04 02:00;3.441;33.87;0.153;0;6.441;
2019-01-04 03:00;2.423;39.17;0.008;0;5.423;
2019-01-04 04:00;2.436;39.86;0;0;5.436;
2019-01-04 05:00;1.147;44;0;0;4.147;
2019-01-04 06:00;1.894;44.54;0.06;0;4.894;
2019-01-04 07:00;0.468;50.79;0.098;0;3.468;
2019-01-04 08:00;-0.615;55.55;0.006;0;2.385;
2019-01-04 09:00;-1.42;59.43;0;0;1.58;
2019-01-04 10:00;-0.197;60.66;0.005;18.50277778;9.803;
2019-01-04 11:00;3.188;48.42;0.097;123.5555556;18.188;
2019-01-04 12:00;4.936;39.3;0.164;187.2222222;24.936;
2019-01-04 13:00;6.888;37.18;0.453;239.1666667;26.888;
2019-01-04 14:00;8.57;34.8;0.655;311.3888889;28.57;
2019-01-04 15:00;9.36;30.99;0.921;377.7777778;29.36;
2019-01-04 16:00;9.97;30.85;0.805;301.6666667;29.97;
2019-01-04 17:00;9.29;31.32;0.543;186.5833333;24.29;
2019-01-04 18:00;7.87;37.84;0.349;66.80555556;13.87;
2019-01-04 19:00;6.332;42.87;0.126;1.811111111;11.332;
2019-01-04 20:00;6.208;43.56;0.117;0;10.208;
2019-01-04 21:00;4.919;45.33;0.091;0;7.919;
2019-01-04 22:00;4.446;48.79;0.008;0;7.446;
2019-01-04 23:00;5.13;48.25;0.002;0;8.13;
2019-01-05 00:00;4.186;54.1;0.002;0;7.186;
2019-01-05 01:00;3.034;61.09;0.001;0;6.034;
2019-01-05 02:00;2.423;63.53;0.003;0;5.423;
2019-01-05 03:00;1.962;65.46;0;0;4.962;
2019-01-05 04:00;0.333;69.53;0.001;0;3.333;
2019-01-05 05:00;1.08;67.02;0;0;4.08;
